State,District,University Type,Name of the University,Location (Rural/ Urban),Women's University (Yes/No),List of Attached Colleges and Institutions - State,List of Attached Colleges and Institutions - District,List of Attached Colleges and Institutions - Type,List of Attached Colleges and Institutions - Management,List of Attached Colleges and Institutions - Name,List of Attached Colleges and Institutions - Location (Rural/Urban),List of Attached Colleges and Institutions - Women's College (Yes/No),List of Attached Colleges and Institutions - Whether Autonomous
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Sai Sakthi Engineering College, Maharajapuram, Tirupathi (Id: C-26935)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Annamcharya Institute of Technology & Sciences,Tirupati (Id: C-26947)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"Srinivasa College of Engineering & Technology, Kurnool (Id: C-26926)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Sree Kalahastheeswara Institute of Technology, Sreekalahasti (Id: C-26956)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Sreenivasa Inst. of Technology & Management Studies, Thimmasamudram, Chittoor (Id: C-26954)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,Priyadarshini College of Engineering Technology (Id: C-26955),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"Symaladevi Institute of Technology for Women, Nandyal (Id: C-26963)",Rural,Yes,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,"Gokulakrishna College of Engineering, Sullerpet (Id: C-26959)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"S. Krishna Devaraya Engineering College, Gooty, (Id: C-26958)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Shri Shirdi Sai Institute of Science and Engineering(9A), Vadiyampet, Anantapur (Id: C-26960)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Sri Vidyaniketan College of Pharmacy, Sri Sainath Nagar,A .Rangam pet Tirupathi (Id: C-26969)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,"Narayanadri Insitute of Science & Technology, Rajampet (Id: C-26961)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Sree Vyshnavi MBA College, Gooty (Id: C-26962)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,"Visvodaya Engineering College, Kavali (Id: C-26968)",Rural,No,No
